1,iOS Developer,Somos una empresa lider en creacion de websites ecommerce en el mercado internacional Estamos buscando talentosos desarrolladores con AMPLIA EXPERIENCIA en el desarrollo de Aplicaciones Moviles para iPhone Android iPads para trabajar en nuestra sede de San Borja  Ofrecemos un ambiente laboral excelente un equipo muy colaborador Los interesados envien su curriculum via email de forma inmediata para acceder una entrevista y empezar a trabajar con nosotros  Posicion para cubrir inmediatamente buen salario y permanencia dentro de nuestra organizacion es garantizada esto no es una posicion para un proyecto de unos meses o freelancing,Requirements 2 years iOS experience Objective C iOS iOS SDK OS X GIT XML SOAP JSON XCode ipa  iOS apk  Android HTML5 CSS3 JQuery Mobile Java Script
6,Practicante de Desarrollo de Negocio,Soporte a reportes comerciales automatizaciones reportes planificacion comercial y otros Analisis de reportes de seguimiento automatizacion y seguimiento reporte horarios de salida,No indispensable
4,INGENIERO DE SISTEMA  ARQUITECTO, Analizar disenar e implementar arquitecturas tecnicas para soluciones de software  Analizar disenar e implementar soluciones endtoend con una o mas tecnologias  Definir tecnologia de informacion que se utilizara asi como los requerimientos de infraestructura necesarios para poder atender las necesidades del cliente Esto incluye Sizing  Definir procedimientos rutinas yo funciones que formaran parte del desarrollo del sistema  Definir las pruebas tecnicas necesarias sobre el procedimiento rutina yo funcion creada para garantizar su correcto funcionamiento y documentacion de las mismas  Definir arquitectura diseno de iniciativas para el desarrollo de productos de software y definiendo estandares Arquitectonicos  Aplicar las mejores practicas y estandares de desarrollo  Conducir la elaboracion de documentacion tecnica de los sistemas a su cargo  Balanceo de aplicaciones  Integracion con directorio activo  Elaborar estandares de Desarrollo  Apoyar con la instalacion del sistema yo bases de datos en los ambientes destinados  Elaborar especificaciones de tecnicas y codificacion de aplicaciones  Elaborar prototipo tecnico de la aplicacion  Realizar pruebas tecnicas y de integracion  Realizar pruebas de stress y carga,Experiencia en arquitecturas orientadas a Tecnologias Java  Experiencia en arquitecturas basadas en WebServices  Experiencia en Integracion de aplicativos Web  Experiencia en el uso de bases de datos relacionales en diversas plataformas Principalmente SQL Server  Experiencia minima de cuatro anos en labores similares  Experiencia liderando equipos de desarrollo y analistas  MANEJO DE SISTEMAS Conocimientos en Software de Programacion en base a su experiencia java liferay Spring 3x spring mvc javascript ehcache hibernate 3x Haber usado o administrado WebSphere 70 Haber implementado algun flujo de Proceso BPM o tener conocimientos de ello SQL Server 2008 Conocimientos de Apache Solr CMS Content management system visual VM JMeter
4,INGENIERO DE SISTEMAS  ANALISTA FUNCIONAL,Profesional responsable del analisis funcional y tecnico de las soluciones a desarrollarse asi como la coordinacion directa con el equipo implementador Responsable de dar soporte a las actividades del Jefe de Proyectos Responsable de supervisar que el producto a entregar cumpla con lo establecido en la propuesta, Experiencia en Analisis de Sistemas mediante la elaboracion de Especificacion de Funcionalidades bajo la metodologia UML Casos de Uso Diagramas de Estado etc  Experiencia en interaccion directa con clientes y usuarios  Experiencia en desarrollo de aplicaciones Web en PHP Net o Java  Experiencia en modelamiento de base de datos  Conocimiento de SQL Server 20052008Oracle y PLSQL  Experto en metodologia de desarrollo de software RUP o SCRUM  Experiencia minima de cuatro anos en labores similares  CONOCIMIENTOS Conocimientos en Software de Programacion en base a su experiencia
4,INGENIERO DE SISTEMAS  ANALISTA DE CALIDAD,Elaborar y ejecutar los escenarios y casos de pruebas que permitiran verificar el correcto funcionamiento de las aplicaciones web o en su defecto detectar los errores que deben ser corregidos por las areas encargadas, Experiencia minima de 1 ano demostrable en proyectos similares capacidad de trabajo en equipo  Egresado cursando ultimo ciclo en ingenieria de sistemas computacion o informatica de universidad o instituto  Conocimientos de ingenieria de software web y buenas practicas de desarrollo web  Claro entendimiento de Casos de Uso RUP  Excelente manejo de Navegadores Web Maquinas Virtuales estandares W3C  Conocimientos de componentes utilizados para la interaccion con Redes Sociales y Social Media  Conocimientos de Diseno Web HTML Java NET y Programacion en dispositivos moviles  Conocimiento de Base de Datos SQL Server MySQL Oracle etc  CONOCIMIENTOS Testlink Bugzilla y Selenium
6,Practicante Profesional de Consultoria,Contribuir al control y seguimiento de la gestion de proyectos de mejora con clientes elaborando informes de avances planteando alternativas de solucion para cumplir con los entregables,Deseable metodologias de gestion de proyectos PMI y procesos de negocio BPM  Ms Office a nivel avanzado De preferencia conocimiento de adonis u otros modeladores de procesos  Experiencia  Experiencia minima de un ano en labores o practicas similares Deseable funcionales por modulos de SAP
6,Consultor Senior de Proyectos,Analiza e investiga informacion relacionada proponiendo oportunidades de mejora en los procesos de negocio involucrados en el proyecto segun los lineamientos recibidos y plantea alternativas de solucion a los problemas detectados en el analisis y sustenta dichas alternativas  Aplica las tecnicas y metodologias de analisis y mejora de procesos para lograr los objetivos y entregables del proyecto informando a su inmediato superior el avance de los entregables asignados,Deseable haber utilizado la metodologia ASAP en la implementacion de proyectos SAP o Metodologias afines en implantacion o Gestion de Proyectos PMI BMP Manejo de MS Office a nivel avanzado Manejo de Adonis y Ms Project  Experiencia minima de 3 anos en consultoria habiendo participado en el Desarrollo de proyectos yo Implementacion de Sistemas
6,Consultor Junior de Proyectos,Relevar la informacion de la situacion actual de los procesos de negocio de acuerdo a la metodologia establecida por la gerencia Analizar la informacion relevada de los procesos e identifica oportunidades de mejora y propone soluciones al equipo de trabajo,Experto en manejo de herramientas ofimaticas Alta capacidad de analisis y comunicacion Conocimiento de adonis u otros modeladores de procesos  Experiencia minima de un ano en la implantacion de proyectos o metodologias afines en Implantacion o Gestion de Proyectos PMI BMP Experiencia en proyectos corporativos de envergadura como consultor
6,Practicante de Riesgo Minorista,Conocimiento de los procesos de Venta de Cartera aplicar sus conocimientos en la automatizacion y optimizacion de los procesos de venta,Estudiante universitario entre 7mo y 9no ciclo
6,Jefe De Aseguramiento De Calidad, Planificar organizar dirigir y supervisar las actividades relacionadas al Control y Aseguramiento de Calidad  Responsable de la Calidad del Producto  Auditar todos los procedimientos de la organizacion  Documentar cualquier cambio en los procedimientos de la empresa  Capacitacion a las revisoras de QA  Coordinar con todas las areas y centralizar los requerimientos de QA,Requisitos minimos  Situacion EGRESADO SOLO CON GRADO DE BACHILLER  Especialidad INGENIERIA DE SISTEMAS  Certificacion ISTQB Opcional  Experiencia Minimo 2 anos de experiencia en Control de Calidad  Disponibilidad de Horario Tiempo Completo
1,Analista Funcionales Oracle Developer,Accenture es una empresa de consultoria en management servicios de tecnologia y outsourcing Combinamos una experiencia incomparable amplias capacidades en todas las industrias y funciones de negocios y una amplia investigacion respecto de las empresas mas exitosas del mundo  Nos encontramos en la busqueda de un profesional de sistemas con experiencia en Oracle Developer con Forms y Reports PL SQL Base Oracle 10g Para desempenarse como Analistas Senior, 3 a 5 anos de experiencia en el desarrollo de aplicaciones con dichas tecnologias  Experiencia en la direccion de equipos de trabajo y gestion de proyectos  Deseable experiencia en el rubro de seguros
4,Practicante Sistemas,Apoyo en los encargos del Subgerente de Informacion del equipo de Planeamiento de la Division de Creditos entre otros manejo de bases de datos generacion de reportes y analisis administracion de servidores apoyo en proyectos de informacion y otros 1 Generacion de reportes y analisis basicos de informacion de cartera mayorista provisiones y otros 2 Manejo de bases de datos a niveles de consulta 3 Apoyo en el desarrollos de proyectos asignados a la Subgerencia pe automatizaciones de procesos nuevas herramientas de informacion Proyecto MIR Renovacion Tecnologica de CAPS otros 4 Apoyo en la actualizacion de manuales de los aplicativos de los cuales la Gerencia es lider usuario 5 Hacer seguimiento de la actualizacion del Share Point de la Division de Creditos 6 Apoyo en la administracion de servidores del equipo schedular los back ups organizar los files coordinar con sistemas nuevas necesidades,Conocimientos de manejo de bases de datos y reporteadores nivel consulta y algun lenguaje de programacion
1,Analista Programador Web,Nuestro cliente se encuentra en la busqueda de un profesional de primer nivel para ocupar el cargo de  ANALISTA PROGRAMADOR WEB  FUNCIONES  Analisis de los procesos en coordinacion con el Jefe de Desarrollo Diseno de la Base de datos en coordinacion con el Jefe de Desarrollo Documentacion de la definicion de procesos RUPUML Desarrollo de la solucion aplicaciones Windows WEB Visual Studio 20082005 Validacion de la solucion en coordinacion con el Jefe de Desarrollo Puesta en produccion de la solucion en ambientes de testeo y en primeros clientes Diseno de proceso de implementacion del Software y manuales de usuario,Experiencia minima de tres anos como Analista Programador especializado en Webs Deseable Certificaciones Microsoft MCPD Windows Developer 35 o MCPD ASPNET Developer 35 Conocimientos de SQL ASPnet Microsoft Cnet RUP Visual Basic entre otros Deseable conocimientos de Oracle Database y patrones de diseno  BENEFICIOS  Remuneracion de acorde al mercado Oportunidad de Linea de carrera
6,Practicante de Customer Experience II,Apoyo en programas y talleres de calidad Generar comunicaciones flyers videos ediciones etc Manejo de inventario de merchandizing de la Unidad y requerimiento a proveedores Apoyo en la elaboracion de presentaciones a Oficinas canales productos Conocimiento de Redes Sociales basico Apoyar en la actualizacion de metricas Revisar los verbatines y escuchar y editar los audios de las encuestas realizadas,No indispensable la experiencia
1,Asistente Java, Diseno y desarrollo de aplicaciones en base al requerimiento del cliente, Experiencia minima de 1 ano en manejo de herramientas Java J2EE  Deseable experiencia en proyectos de implementacion de sistemas alineado al rubro de seguros
1,Practicante Java J2EE, Diseno y desarrollo de aplicaciones en base al requerimiento del cliente, Deseable experiencia minima de 1 ano en manejo de herramientas Java J2EE  Disponibilidad de realizar 30 horas semanales  Disponibilidad para trabajar en Cercado de Lima
4,Trainee Ingenieria Informatica,Participar en el proyecto de implementacion de sistemas al core del negocio de una empresa de seguros Apoyar en el analisis y desarrollo de las etapas de implementacion del proyecto Soporte en el analisis del negocio de seguros, Deseable experiencia  Nivel de ingles intermedio
1,Trainee Oracle Developer, Diseno y desarrollo de aplicaciones en base al requerimiento del cliente, Deseable experiencia minima de 1 ano en manejo de herramientas Oracle Developer  Disponibilidad completa
1,Trainee Java, Diseno y desarrollo de aplicaciones en base al requerimiento del cliente, Deseable experiencia minima de 1 ano en manejo de herramientas Java J2EE Disponibilidad completa
6,Analista de Aseguramiento de Ingresos, Ejecucion de controles de Aseguramiento de Ingresos oferta comercial prepago aprovisionamiento trafico y facturacion asi como gestion de mejora de los controles actuales  Elaboracion y seguimiento de planes de accion para solucionar incidentes con impacto en ingresos y o satisfaccion de los clientes  Identificacion y evaluacion economica de potenciales perdidas de ingresos  Participacion en proyectos de implementacion de nuevos productos y sistemas,Dominio de MS Office Manejo de Base de Datos
6,RP N 0022014 PRACTICANTE DPTO SUPERVISION DE RIESGO OPERACIONAL  SAR,El practicante apoyara en las diversas actividades realizadas al interior del Dpto de Riesgo Operacional destacando la implementacion de una central de perdidas centralizada de riesgo operacional la obtencion de reportes consolidados a nivel de los sistemas supervisados asi como la implementacion de herramientas de soporte a la gestion Preparar y actualizar de documentacion tecnica amnuales procedimientos formatos y similares Apoyo en la planificacion de las actividades de capacitacion a entidades supervisadas con respecto a proyectos desarrollados por el Dpto la elaboracion de documentacion relacionada asi como en la atencion de consultas que sean remitidas Apoyo en la elbaoracion de documentos e indicadores resultado de la evaluacion realizada sobre las empresas supervisadas yo consultas trasladadas al Dpto,Conocimientos a nivel intermedio de Base de Datos Honestidad capacidad para trabajar en equipo responsabilidad y pro actividad
6,Practicante de Aseguramiento de Ingresos,Seguimiento de los controles de Aseguramiento de Ingresos Apoyo en el analisis de los procesos relacionados a la generacion registro facturacion cobranza de trafico y gestion de aprovisionamiento de clientes Apoyo en la evaluacion de potenciales perdidas de ingresos Apoyo en la implementacion de nuevos controles de aseguramiento de ingresos relacionados al lanzamiento de nuevos productos sistemas o elementos de red,
6,Analista Programador Cobranzas,Analizar disenar implementar y mantener los sistemas del Area de Cobranzas con el proposito de proporcionar la solucion tecnologica mas conveniente para el negocio que permita lograr mayor eficiencia operativa disminuir provisiones generar ingresos garantizando los niveles de servicio acordados con los usuarios y cumpliendo con los procedimientos de gestion y desarrollo de proyectos establecidos, Experiencia 1 ano como Analista Programador   Conocimientos de Programacion de aplicaciones clienteservidor y web Conocimiento avanzado en Net JavaScript Vbasic SQL y Oracle
